Path	Sample Name	Tissue Category	Region ID	Total Regions	Region X Position	Region Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Region Area (pixels)	Region Area (percent)	Region Compactness	Region Minor Axis	Region Major Axis	Region Axis Ratio	DAPI Min (Normalized Counts, Total Weighting)	DAPI Mean (Normalized Counts, Total Weighting)	DAPI Max (Normalized Counts, Total Weighting)	DAPI Std Dev (Normalized Counts, Total Weighting)	DAPI Total (Normalized Counts, Total Weighting)	CD68 (Opal 520) Min (Normalized Counts, Total Weighting)	CD68 (Opal 520) Mean (Normalized Counts, Total Weighting)	CD68 (Opal 520) Max (Normalized Counts, Total Weighting)	CD68 (Opal 520) Std Dev (Normalized Counts, Total Weighting)	CD68 (Opal 520) Total (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Min (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Mean (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Max (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Std Dev (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Total (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Min (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Mean (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Max (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Std Dev (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Total (Normalized Counts, Total Weighting)	CD8 (Opal 620) Min (Normalized Counts, Total Weighting)	CD8 (Opal 620) Mean (Normalized Counts, Total Weighting)	CD8 (Opal 620) Max (Normalized Counts, Total Weighting)	CD8 (Opal 620) Std Dev (Normalized Counts, Total Weighting)	CD8 (Opal 620) Total (Normalized Counts, Total Weighting)	CD3 (Opal 650) Min (Normalized Counts, Total Weighting)	CD3 (Opal 650) Mean (Normalized Counts, Total Weighting)	CD3 (Opal 650) Max (Normalized Counts, Total Weighting)	CD3 (Opal 650) Std Dev (Normalized Counts, Total Weighting)	CD3 (Opal 650) Total (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Min (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Mean (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Max (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Std Dev (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Total (Normalized Counts, Total Weighting)	Autofluorescence Min (Normalized Counts, Total Weighting)	Autofluorescence Mean (Normalized Counts, Total Weighting)	Autofluorescence Max (Normalized Counts, Total Weighting)	Autofluorescence Std Dev (Normalized Counts, Total Weighting)	Autofluorescence Total (Normalized Counts, Total Weighting)	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	inForm 2.2.5800.23313
E:\Original MANTRA official all pics	cu-07-05 B D_5.im3	Tumor	1		696	520	#N/A	#N/A	1280672	88.46 %	0.05	1051.34	1397.44	1.33	0.092	1.475	6.003	0.973	1888704.898	0.000	0.179	2.309	0.119	228805.162	0.000	0.414	5.260	0.303	530623.457	0.000	2.169	51.646	3.991	2777449.715	0.000	0.708	18.460	0.544	906772.670	0.000	0.018	0.576	0.028	23482.956	0.000	0.349	2.751	0.325	446955.284	0.000	0.486	2.567	0.336	621818.552			0	0	0	0	
E:\Original MANTRA official all pics	cu-07-05 B D_5.im3	Tumor	2		894	338	#N/A	#N/A	1728	0.12 %	0.30	52.11	60.02	1.15	0.159	0.763	3.394	0.666	1318.236	0.000	0.099	0.341	0.065	171.064	0.000	0.364	1.728	0.314	629.847	0.239	3.429	25.715	3.243	5925.563	0.000	0.437	3.212	0.450	755.311	0.000	0.021	0.149	0.026	35.897	0.000	0.117	0.736	0.099	202.327	0.000	0.717	1.554	0.247	1238.155			0	0	0	0	
E:\Original MANTRA official all pics	cu-07-05 B D_5.im3	Tumor	3		856	652	#N/A	#N/A	1712	0.12 %	0.52	41.49	64.16	1.55	0.207	1.049	3.051	0.697	1795.375	0.000	0.127	0.937	0.102	216.615	0.000	0.302	1.540	0.236	517.585	0.000	2.043	18.424	2.508	3497.927	0.000	0.543	3.257	0.439	929.351	0.000	0.018	0.161	0.025	31.215	0.000	0.212	1.826	0.312	363.730	0.000	0.611	1.287	0.291	1046.830			0	0	0	0	
E:\Original MANTRA official all pics	cu-07-05 B D_5.im3	Stroma	4		308	110	#N/A	#N/A	22704	1.57 %	0.29	144.14	261.51	1.81	0.136	0.725	6.454	0.802	16454.538	0.000	0.132	2.342	0.145	2987.467	0.000	0.356	2.801	0.343	8081.773	0.000	3.966	39.296	4.747	90032.947	0.000	0.488	6.783	0.611	11084.263	0.000	0.017	0.342	0.026	377.823	0.000	0.064	0.311	0.029	1443.006	0.000	0.619	1.901	0.285	14052.796			0	0	0	0	
E:\Original MANTRA official all pics	cu-07-05 B D_5.im3	Stroma	5		950	40	#N/A	#N/A	1952	0.13 %	0.25	59.30	78.08	1.32	0.174	0.591	4.204	0.666	1153.598	0.000	0.061	0.352	0.062	119.715	0.000	0.465	2.254	0.386	908.184	0.384	7.922	34.565	6.270	15463.877	0.000	0.793	5.293	0.992	1548.177	0.000	0.016	0.171	0.026	31.390	0.000	0.069	0.249	0.043	135.165	0.000	0.771	1.612	0.251	1504.547			0	0	0	0	
E:\Original MANTRA official all pics	cu-07-05 B D_5.im3	Stroma	6		1302	184	#N/A	#N/A	29504	2.04 %	0.18	180.06	368.71	2.05	0.114	0.412	6.711	0.479	12143.784	0.000	0.033	1.741	0.055	980.934	0.000	0.108	2.431	0.255	3199.738	0.000	1.695	35.217	4.058	50015.200	0.000	0.282	6.410	0.500	8314.405	0.000	0.010	0.314	0.021	284.169	0.000	0.044	0.376	0.032	1308.944	0.000	0.489	1.880	0.209	14422.592			0	0	0	0	
E:\Original MANTRA official all pics	cu-07-05 B D_5.im3	Stroma	7		772	68	#N/A	#N/A	2144	0.15 %	0.17	52.44	109.36	2.09	0.367	0.441	0.521	0.021	945.304	0.000	0.041	0.325	0.027	86.874	0.000	0.033	0.310	0.051	70.169	0.000	0.274	1.244	0.148	587.516	0.000	0.151	0.810	0.111	324.392	0.000	0.006	0.079	0.011	13.304	0.003	0.051	0.124	0.013	108.537	0.189	0.370	0.650	0.069	793.597			0	0	0	0	
E:\Original MANTRA official all pics	cu-07-05 B D_5.im3	Stroma	8		40	178	#N/A	#N/A	8352	0.58 %	0.30	80.22	163.79	2.04	0.111	0.754	5.981	0.904	6294.561	0.000	0.127	2.138	0.123	1062.185	0.000	0.526	2.880	0.444	4390.898	0.106	7.423	47.581	7.025	61998.665	0.000	1.377	22.417	2.246	11502.950	0.000	0.033	0.669	0.060	276.754	0.000	0.071	0.300	0.041	595.803	0.000	0.735	2.127	0.342	6137.342			0	0	0	0	
E:\Original MANTRA official all pics	cu-07-05 B D_5.im3	Stroma	9		442	140	#N/A	#N/A	1104	0.08 %	0.33	28.04	67.24	2.40	0.401	0.461	0.552	0.021	509.416	0.000	0.042	0.195	0.026	46.900	0.000	0.034	0.328	0.051	37.322	0.000	0.263	0.900	0.131	290.496	0.000	0.143	0.562	0.103	157.653	0.000	0.006	0.068	0.011	6.690	0.013	0.052	0.118	0.014	57.003	0.195	0.365	0.596	0.063	403.493			0	0	0	0	
E:\Original MANTRA official all pics	cu-07-05 B D_5.im3	Stroma	10		642	176	#N/A	#N/A	2352	0.16 %	0.20	49.72	112.26	2.26	0.191	0.919	5.642	1.092	2161.004	0.000	0.114	1.586	0.112	267.013	0.000	0.436	1.806	0.369	1025.395	0.250	4.695	25.941	4.190	11043.547	0.000	0.550	3.190	0.551	1292.611	0.000	0.023	0.155	0.028	54.857	0.000	0.085	0.258	0.027	199.263	0.000	0.749	1.552	0.339	1761.587			0	0	0	0	
