Path	Sample Name	Tissue Category	Region ID	Total Regions	Region X Position	Region Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Region Area (pixels)	Region Area (percent)	Region Compactness	Region Minor Axis	Region Major Axis	Region Axis Ratio	DAPI Min (Normalized Counts, Total Weighting)	DAPI Mean (Normalized Counts, Total Weighting)	DAPI Max (Normalized Counts, Total Weighting)	DAPI Std Dev (Normalized Counts, Total Weighting)	DAPI Total (Normalized Counts, Total Weighting)	CD68 (Opal 520) Min (Normalized Counts, Total Weighting)	CD68 (Opal 520) Mean (Normalized Counts, Total Weighting)	CD68 (Opal 520) Max (Normalized Counts, Total Weighting)	CD68 (Opal 520) Std Dev (Normalized Counts, Total Weighting)	CD68 (Opal 520) Total (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Min (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Mean (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Max (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Std Dev (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Total (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Min (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Mean (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Max (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Std Dev (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Total (Normalized Counts, Total Weighting)	CD8 (Opal 620) Min (Normalized Counts, Total Weighting)	CD8 (Opal 620) Mean (Normalized Counts, Total Weighting)	CD8 (Opal 620) Max (Normalized Counts, Total Weighting)	CD8 (Opal 620) Std Dev (Normalized Counts, Total Weighting)	CD8 (Opal 620) Total (Normalized Counts, Total Weighting)	CD3 (Opal 650) Min (Normalized Counts, Total Weighting)	CD3 (Opal 650) Mean (Normalized Counts, Total Weighting)	CD3 (Opal 650) Max (Normalized Counts, Total Weighting)	CD3 (Opal 650) Std Dev (Normalized Counts, Total Weighting)	CD3 (Opal 650) Total (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Min (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Mean (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Max (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Std Dev (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Total (Normalized Counts, Total Weighting)	Autofluorescence Min (Normalized Counts, Total Weighting)	Autofluorescence Mean (Normalized Counts, Total Weighting)	Autofluorescence Max (Normalized Counts, Total Weighting)	Autofluorescence Std Dev (Normalized Counts, Total Weighting)	Autofluorescence Total (Normalized Counts, Total Weighting)	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	inForm 2.2.5800.23313
E:\Original MANTRA official all pics	cu-05-06 A7 S_2.im3	Tumor	1		696	520	#N/A	#N/A	1176016	81.23 %	0.04	1042.35	1392.69	1.34	0.117	0.593	5.391	0.465	697022.804	0.000	0.194	3.368	0.163	228135.931	0.000	0.113	4.847	0.217	132598.057	0.000	1.342	22.781	1.885	1577785.405	0.000	0.311	17.374	0.261	366089.078	0.000	0.051	1.286	0.048	59697.422	0.000	0.420	4.189	0.448	493933.031	0.000	0.706	2.959	0.112	830136.117			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_2.im3	Tumor	2		1160	664	#N/A	#N/A	3776	0.26 %	0.37	69.56	80.70	1.16	0.194	0.552	3.049	0.488	2082.509	0.000	0.161	0.747	0.093	609.562	0.000	0.052	0.594	0.082	196.663	0.000	0.782	3.392	0.548	2952.039	0.000	0.277	1.375	0.162	1046.755	0.000	0.051	0.340	0.044	193.152	0.000	0.384	2.667	0.542	1450.038	0.419	0.759	1.296	0.106	2864.533			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_2.im3	Tumor	3		1176	840	#N/A	#N/A	1280	0.09 %	0.60	40.14	40.17	1.00	0.175	0.763	2.511	0.558	977.162	0.000	0.103	0.436	0.057	131.902	0.000	0.096	0.725	0.123	123.031	0.000	1.062	3.238	0.700	1358.906	0.000	0.262	1.228	0.192	335.940	0.000	0.045	0.173	0.035	57.612	0.000	0.128	0.416	0.086	163.847	0.431	0.785	1.242	0.124	1004.663			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_2.im3	Tumor	4		1008	950	#N/A	#N/A	2336	0.16 %	0.46	50.32	72.82	1.45	0.197	0.513	1.847	0.335	1198.700	0.000	0.114	0.491	0.060	267.145	0.000	0.066	0.630	0.093	153.179	0.000	0.753	3.136	0.546	1759.170	0.000	0.252	0.899	0.144	588.749	0.000	0.046	0.222	0.035	108.050	0.000	0.124	0.612	0.100	289.107	0.496	0.789	1.266	0.107	1842.916			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_2.im3	Stroma	5		116	22	#N/A	#N/A	3072	0.21 %	0.37	44.11	104.12	2.36	0.120	0.233	2.094	0.144	714.633	0.000	0.107	0.607	0.072	327.308	0.000	0.093	1.813	0.190	285.958	0.000	1.105	13.345	1.970	3395.562	0.000	0.259	2.913	0.287	796.381	0.000	0.026	0.336	0.030	79.010	0.000	0.089	1.260	0.130	272.077	0.236	0.586	1.028	0.113	1799.233			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_2.im3	Stroma	6		220	16	#N/A	#N/A	1488	0.10 %	0.45	32.18	72.08	2.24	0.159	0.481	4.021	0.567	715.827	0.000	0.296	1.436	0.283	440.977	0.000	0.282	2.250	0.357	420.039	0.202	3.399	16.960	3.201	5057.295	0.000	0.532	5.231	0.640	791.549	0.000	0.039	0.204	0.038	58.086	0.000	0.097	0.357	0.048	144.180	0.075	0.691	1.071	0.101	1028.160			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_2.im3	Stroma	7		780	54	#N/A	#N/A	3360	0.23 %	0.26	72.20	108.15	1.50	0.144	0.270	0.431	0.059	908.615	0.000	0.117	0.567	0.062	393.474	0.000	0.042	0.496	0.070	141.187	0.000	0.335	1.465	0.175	1125.145	0.000	0.225	1.295	0.140	755.549	0.000	0.030	0.146	0.027	101.930	0.000	0.073	0.215	0.023	246.385	0.330	0.669	1.112	0.152	2246.967			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_2.im3	Stroma	8		1062	14	#N/A	#N/A	848	0.06 %	0.49	25.70	45.52	1.77	0.247	0.387	1.691	0.190	328.225	0.029	0.155	0.314	0.038	131.787	0.000	0.066	0.543	0.082	55.779	0.000	0.718	2.321	0.445	608.913	0.000	0.255	0.660	0.130	216.272	0.000	0.042	0.164	0.032	35.518	0.010	0.099	0.205	0.032	84.000	0.526	0.785	1.039	0.077	665.275			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_2.im3	Stroma	9		294	60	#N/A	#N/A	2480	0.17 %	0.37	60.50	69.56	1.15	0.140	0.584	2.827	0.611	1448.095	0.000	0.328	1.784	0.300	814.669	0.000	0.338	2.459	0.368	838.461	0.260	4.298	14.268	3.149	10659.590	0.000	1.355	14.233	2.393	3360.830	0.000	0.105	0.920	0.160	259.534	0.000	0.116	0.418	0.046	286.521	0.287	0.709	1.135	0.095	1758.107			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_2.im3	Stroma	10		894	64	#N/A	#N/A	912	0.06 %	0.52	26.06	50.78	1.95	0.226	1.280	3.901	0.952	1167.034	0.014	0.172	0.527	0.070	156.686	0.000	0.076	0.560	0.104	69.076	0.000	1.265	3.818	0.786	1153.539	0.000	0.525	1.817	0.337	478.427	0.000	0.461	2.220	0.530	420.449	0.000	0.116	0.292	0.041	105.436	0.238	0.679	1.186	0.126	619.661			0	0	0	0	
