"Path"	"Sample_Name"	"Tissue_Category"	"Region_ID"	"Total_Regions"	"Region_X_Position"	"Region_Y_Position"	"Process_Region_ID"	"Distance_from_Process_Region_Edge_pixels"	"Region_Area_pixels"	"Region_Area_percent"	"Region_Compactness"	"Region_Minor_Axis"	"Region_Major_Axis"	"Region_Axis_Ratio"	"DAPI_Min_Normalized_Counts_Total_Weighting"	"DAPI_Mean_Normalized_Counts_Total_Weighting"	"DAPI_Max_Normalized_Counts_Total_Weighting"	"DAPI_Std_Dev_Normalized_Counts_Total_Weighting"	"DAPI_Total_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Min_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Mean_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Max_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Std_Dev_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Total_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Min_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Mean_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Max_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Std_Dev_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Total_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Min_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Mean_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Max_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Std_Dev_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Total_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Min_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Mean_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Max_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Std_Dev_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Total_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Min_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Mean_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Max_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Std_Dev_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Total_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Min_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Mean_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Max_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Std_Dev_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Total_Normalized_Counts_Total_Weighting"	"Autofluorescence_Min_Normalized_Counts_Total_Weighting"	"Autofluorescence_Mean_Normalized_Counts_Total_Weighting"	"Autofluorescence_Max_Normalized_Counts_Total_Weighting"	"Autofluorescence_Std_Dev_Normalized_Counts_Total_Weighting"	"Autofluorescence_Total_Normalized_Counts_Total_Weighting"	"Lab_ID"	"Slide_ID"	"TMA_Sector"	"TMA_Row"	"TMA_Column"	"TMA_Field"	"inForm_2_2_5800_23313"
"E:\Original MANTRA official all pics"	"cu-07-05 B D_1.im3"	"Tumor"	1	NA	696	520	"#N/A"	"#N/A"	1120128	"77.37 %"	0.06	1040.9	1393.38	1.34	0.142	1.694	6.885	1.114	1897079.703	0	0.464	15.478	0.462	519891.735	0	0.691	12.031	0.553	773480.17	0	4.196	60.137	6.294	4700080.766	0	1.368	56.327	1.7	1531998.614	0	0.042	2.822	0.077	47248.143	0	0.508	3.918	0.433	569288.056	0	0.439	3.528	0.371	491458.635	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-07-05 B D_1.im3"	"Stroma"	2	NA	604	34	"#N/A"	"#N/A"	3328	"0.23 %"	0.3	67.99	88.34	1.3	0.196	0.684	4.766	0.649	2277.716	0	0.894	4.905	0.767	2974.83	0	0.864	2.636	0.483	2874.014	1.515	13.716	40.612	6.257	45647.07	0	1.853	7.593	1.262	6165.794	0	0.033	0.337	0.051	108.481	0	0.12	0.3	0.052	398.284	0	0.933	1.668	0.336	3105.986	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-07-05 B D_1.im3"	"Stroma"	3	NA	776	52	"#N/A"	"#N/A"	12048	"0.83 %"	0.36	104.26	184.1	1.77	0.165	0.674	5.121	0.716	8123.373	0	0.488	5.745	0.404	5885.161	0	0.755	3.902	0.608	9100.049	0	8.129	36.537	6.635	97941.565	0	1.482	7.292	1.115	17853.741	0	0.035	0.602	0.052	415.716	0	0.099	0.337	0.042	1188.405	0	0.983	3.83	0.573	11843.382	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-07-05 B D_1.im3"	"Stroma"	4	NA	956	22	"#N/A"	"#N/A"	1328	"0.09 %"	0.43	44.33	47.84	1.08	0.251	1.178	4.752	0.985	1564.254	0	0.391	1.438	0.297	519.36	0	0.815	2.958	0.518	1081.797	0.487	11.546	36.369	7.796	15332.613	0	1.711	6.684	1.213	2271.593	0	0.023	0.265	0.043	30.976	0	0.124	0.393	0.07	165.075	0	0.66	1.475	0.414	876.471	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-07-05 B D_1.im3"	"Stroma"	5	NA	1334	56	"#N/A"	"#N/A"	8352	"0.58 %"	0.3	112.17	116.43	1.04	0.185	0.844	5.802	0.992	7050.673	0	0.242	1.232	0.156	2022.882	0	0.537	3.218	0.503	4484.703	0	7.553	37.649	6.814	63086.685	0	1.357	8.182	1.128	11333.867	0	0.03	0.401	0.048	252.693	0	0.106	0.581	0.065	884.971	0	0.779	1.743	0.356	6509.943	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-07-05 B D_1.im3"	"Stroma"	6	NA	598	86	"#N/A"	"#N/A"	816	"0.06 %"	0.32	33.69	53.44	1.59	0.371	0.963	3.642	0.737	785.476	0	0.44	1.218	0.241	359.299	0	0.617	2.152	0.446	503.106	0.479	6.582	31.17	5.509	5370.974	0	0.972	6.907	1.032	793.263	0	0.03	0.19	0.04	24.345	0	0.154	0.482	0.073	126.033	0	0.529	1.357	0.25	431.562	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-07-05 B D_1.im3"	"Stroma"	7	NA	1326	156	"#N/A"	"#N/A"	1760	"0.12 %"	0.23	64.13	64.18	1	0.293	1.781	6.465	1.651	3133.838	0	0.284	0.969	0.149	499.017	0	0.364	1.664	0.32	641.155	0	3.216	19.537	3.205	5659.965	0	0.949	4.395	0.578	1669.844	0	0.023	0.213	0.037	41.012	0	0.117	0.5	0.055	205.068	0	0.483	1.313	0.38	849.409	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-07-05 B D_1.im3"	"Stroma"	8	NA	826	194	"#N/A"	"#N/A"	3696	"0.26 %"	0.15	60.03	132.01	2.2	0.278	1.211	4.871	1.05	4475.781	0	0.333	3.356	0.467	1232.29	0	0.831	3.176	0.539	3071.365	0	9.707	40.061	7.988	35878.518	0	0.954	6.2	0.92	3524.864	0	0.031	0.285	0.044	116.085	0	0.127	0.406	0.055	468.924	0	0.537	1.657	0.397	1984.833	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-07-05 B D_1.im3"	"Stroma"	9	NA	1118	164	"#N/A"	"#N/A"	784	"0.05 %"	0.73	28.06	32.07	1.14	0.421	1.014	3.688	0.779	795.021	0	0.419	1.673	0.244	328.865	0	0.336	1.198	0.231	263.076	0	0.874	4.164	0.463	685.345	0	0.826	2.432	0.372	647.461	0	0.028	0.232	0.036	22.138	0.027	0.128	0.295	0.039	100.067	0	0.539	1.106	0.324	422.37	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-07-05 B D_1.im3"	"Stroma"	10	NA	96	224	"#N/A"	"#N/A"	12064	"0.83 %"	0.25	106.82	198.55	1.86	0.145	0.966	5.409	0.966	11649.761	0	0.849	4.655	0.799	10239.023	0	0.919	4.359	0.67	11090.045	0.325	10.765	50.72	8.949	129863.644	0	1.985	20.572	2.082	23945.051	0	0.076	2.439	0.158	919.905	0	0.123	0.478	0.062	1489.556	0	0.771	3.342	0.486	9303.308	NA	NA	0	0	0	0	NA
