"Path"	"Sample_Name"	"Tissue_Category"	"Region_ID"	"Total_Regions"	"Region_X_Position"	"Region_Y_Position"	"Process_Region_ID"	"Distance_from_Process_Region_Edge_pixels"	"Region_Area_pixels"	"Region_Area_percent"	"Region_Compactness"	"Region_Minor_Axis"	"Region_Major_Axis"	"Region_Axis_Ratio"	"DAPI_Min_Normalized_Counts_Total_Weighting"	"DAPI_Mean_Normalized_Counts_Total_Weighting"	"DAPI_Max_Normalized_Counts_Total_Weighting"	"DAPI_Std_Dev_Normalized_Counts_Total_Weighting"	"DAPI_Total_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Min_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Mean_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Max_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Std_Dev_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Total_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Min_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Mean_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Max_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Std_Dev_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Total_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Min_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Mean_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Max_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Std_Dev_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Total_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Min_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Mean_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Max_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Std_Dev_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Total_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Min_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Mean_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Max_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Std_Dev_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Total_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Min_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Mean_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Max_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Std_Dev_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Total_Normalized_Counts_Total_Weighting"	"Autofluorescence_Min_Normalized_Counts_Total_Weighting"	"Autofluorescence_Mean_Normalized_Counts_Total_Weighting"	"Autofluorescence_Max_Normalized_Counts_Total_Weighting"	"Autofluorescence_Std_Dev_Normalized_Counts_Total_Weighting"	"Autofluorescence_Total_Normalized_Counts_Total_Weighting"	"Lab_ID"	"Slide_ID"	"TMA_Sector"	"TMA_Row"	"TMA_Column"	"TMA_Field"	"inForm_2_2_5800_23313"
"E:\Original MANTRA official all pics"	"cu-04-06 D_2.im3"	"Tumor"	1	NA	818	314	"#N/A"	"#N/A"	214416	"14.81 %"	0.03	630.51	866.87	1.37	0.176	1.007	3.973	0.654	215972.077	0	0.261	3.705	0.2	56041.047	0	0.46	7.39	0.48	98648.798	0	3.172	35.97	3.129	680106.834	0	0.742	32.649	1.127	158999.557	0	0.031	0.926	0.043	6702.482	0	0.312	3.018	0.417	66880.895	0	0.439	1.477	0.233	94051.524	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_2.im3"	"Tumor"	2	NA	812	14	"#N/A"	"#N/A"	928	"0.06 %"	0.67	28.09	40.06	1.43	0.332	0.989	2.09	0.502	917.45	0	0.215	0.882	0.131	199.808	0	0.314	0.927	0.201	291.626	0.341	1.797	4.691	0.686	1667.446	0	0.461	1.565	0.31	428.205	0	0.021	0.138	0.025	19.582	0.005	0.103	0.581	0.074	95.602	0	0.304	0.693	0.212	282.237	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_2.im3"	"Tumor"	3	NA	888	36	"#N/A"	"#N/A"	2960	"0.20 %"	0.39	72	72.01	1	0.299	1.076	3.012	0.646	3185.913	0	0.172	0.653	0.089	509.956	0	0.451	3.118	0.388	1333.542	0.191	2.142	8.725	1.056	6339.323	0	0.479	2.255	0.353	1418.115	0	0.019	0.175	0.026	55.269	0	0.245	1.589	0.298	725.007	0	0.336	0.801	0.213	993.951	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_2.im3"	"Tumor"	4	NA	794	78	"#N/A"	"#N/A"	1664	"0.11 %"	0.38	37.37	66.6	1.78	0.298	0.88	3.051	0.586	1463.814	0	0.216	0.813	0.094	360.056	0	0.302	1.19	0.211	502.264	0.34	1.964	5.365	0.862	3268.295	0	0.464	1.902	0.331	772.792	0	0.021	0.167	0.026	35.394	0.007	0.19	1.785	0.282	316.159	0	0.405	0.767	0.201	674.708	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_2.im3"	"Tumor"	5	NA	1188	302	"#N/A"	"#N/A"	16048	"1.11 %"	0.13	161.05	245.63	1.53	0.234	0.976	3.377	0.666	15666.125	0	0.163	0.839	0.09	2609.601	0	0.351	3.518	0.327	5627.89	0	1.915	14.375	1.392	30731.807	0	0.505	4.551	0.382	8109.507	0	0.023	0.189	0.029	367.062	0	0.21	1.372	0.245	3377.138	0	0.481	0.968	0.241	7722.208	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_2.im3"	"Tumor"	6	NA	988	510	"#N/A"	"#N/A"	20624	"1.42 %"	0.16	142.88	287.99	2.02	0.243	0.975	3.365	0.648	20117.972	0	0.232	1.416	0.141	4782.435	0	0.557	10.892	0.834	11478.236	0	2.759	25.805	2.618	56905.917	0	0.826	31.994	1.505	17033.572	0	0.034	0.6	0.043	711.497	0	0.276	2.588	0.379	5683.482	0	0.506	1.385	0.239	10432.433	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_2.im3"	"Tumor"	7	NA	1138	450	"#N/A"	"#N/A"	1200	"0.08 %"	0.62	36.01	44.07	1.22	0.201	1.022	2.626	0.684	1225.813	0	0.18	0.83	0.099	215.737	0	0.41	1.541	0.303	491.856	0.192	1.997	6.432	1.109	2396.511	0	0.491	2.047	0.325	588.839	0	0.024	0.157	0.029	29.238	0.002	0.255	1.549	0.315	306.41	0	0.472	0.917	0.254	566.308	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_2.im3"	"Tumor"	8	NA	1302	492	"#N/A"	"#N/A"	752	"0.05 %"	0.54	30.76	36.37	1.18	0.3	0.936	2.977	0.719	703.521	0	0.127	0.739	0.112	95.797	0	0.823	2.816	0.653	618.925	0.468	6.511	27.324	6.71	4896.613	0	0.552	3.892	0.598	415.142	0	0.025	0.141	0.03	18.757	0	0.11	0.415	0.093	82.91	0	0.552	1.02	0.244	415.08	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_2.im3"	"Tumor"	9	NA	468	514	"#N/A"	"#N/A"	1056	"0.07 %"	0.49	31.9	51.61	1.62	0.208	0.721	3.536	0.566	761.825	0	0.292	1.21	0.181	308.002	0	0.807	3.165	0.516	852.317	1.311	8.755	29.309	5.596	9245.175	0	1.348	13.394	2.106	1423.482	0	0.049	0.465	0.069	52.261	0	0.198	1.344	0.276	208.818	0	0.618	1.248	0.236	652.508	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_2.im3"	"Tumor"	10	NA	1234	504	"#N/A"	"#N/A"	832	"0.06 %"	0.6	32.1	36.05	1.12	0.293	0.979	2.889	0.711	814.536	0	0.137	0.55	0.095	113.82	0	0.561	2.225	0.416	466.986	0.421	2.849	20.16	2.146	2370.676	0	0.421	2.258	0.398	350.313	0	0.025	0.197	0.031	21.034	0	0.221	1.214	0.267	183.46	0	0.467	0.974	0.242	388.515	NA	NA	0	0	0	0	NA
